ASN,Name,T1,Reachable Pfxs,Shorter Paths via Any Tier 1,% Shorter Paths via Any Tier 1,Not Shorter Paths via Any Tier 1,% Not Shorter Paths via Any Tier 1
174,Cogent,True,208928,75276,36.03,134189,64.23
701,Verizon,True,211643,183217,86.57,28427,13.43
1273,Vodafone,False,227433,168240,73.97,59194,26.03
1299,Telia,True,229768,68640,29.87,161129,70.13
2914,NTT,True,218387,120826,55.33,97822,44.79
3257,GTT,True,218637,128385,58.72,90291,41.30
3320,DTAG,True,190952,157989,82.74,32964,17.26
3356,Lumen,True,249198,112143,45.00,137060,55.00
3491,PCCW,True,227236,161868,71.23,65369,28.77
4637,Telstra,False,220759,158063,71.60,62697,28.40
5511,Orange,True,216935,150925,69.57,66011,30.43
6453,Tata,True,219350,102411,46.69,116940,53.31
6461,Zayo,True,218029,114326,52.44,104503,47.93
6762,TI Sparkle,True,220585,136057,61.68,84545,38.33
6830,Liberty Global,True,218320,174219,79.80,44102,20.20
6939,Hurricane Electric,True,227108,51012,22.46,176097,77.54
7018,AT&T,True,216469,199299,92.07,17172,7.93
9002,RETN,False,223948,117152,52.31,106797,47.69
9498,Bharti Airtel,False,204408,122894,60.12,83014,40.61
12956,Telxius,True,218124,159355,73.06,58770,26.94
13786,Seaborn,False,225781,163722,72.51,62059,27.49
14840,BR DIGITAL,False,225207,151464,67.26,73748,32.75
24482,SG.GS,False,229190,95624,41.72,133589,58.29
35280,F5 Networks,False,237541,143734,60.51,93807,39.49
36236,Net Actuate,False,244462,82709,33.83,161754,66.17
37468,Angola Cables,False,224755,93639,41.66,131118,58.34
37721,VT&S,False,227921,196056,86.02,31866,13.98
39120,Convergenze,False,227880,185629,81.46,42610,18.70
49544,i3D.net,False,234463,83695,35.70,150769,64.30
52320,GlobeNet,False,219077,113502,51.81,105576,48.19
57463,NetIX Comms,False,223850,167952,75.03,55954,25.00
64289,Macarne,False,220856,161333,73.05,59524,26.95
199524,G-Core,False,240328,172143,71.63,70120,29.18
